date,draw_no,operator,top3,starter,consolation
2025-12-03,6003/25,DMC,"1772,2399,4578","4742,9453,8939,5035,2128,2227,8505,7530,6940,3042","6675,2233,2607,3921,1532,1472,8584,7901,2473,6640"
2025-12-06,6004/25,DMC,"1410,6512,2476","4859,0391,8683,2056,9585,5876,5671,8832,7312,0497","0864,7212,8008,7112,7773,8174,2404,4350,7163,2583"
2025-12-07,6005/25,DMC,"2802,4649,1884","2881,4166,3462,9894,9563,3535,5238,4441,7673,6396","0585,8103,5173,6735,4924,6598,0818,8090,8104,3821"
2025-12-10,6006/25,DMC,"3929,4512,2505","1163,9734,1397,1789,6376,1248,6254,6956,7983,6606","4384,3482,1591,7234,4202,8468,2919,6747,0331,4945"
2025-12-13,6007/25,DMC,"8657,0883,6772","1240,8214,0927,0175,9510,9474,9572,1276,8596,3355","8411,4354,8044,9514,3495,6519,9712,6831,4605,3229"
2025-12-14,6008/25,DMC,"6591,8546,0109","7013,6910,7859,6382,3083,2948,2808,7653,6669,3935","8134,0388,0539,6896,8850,6300,5908,9259,9927,0129"
2025-12-17,6009/25,DMC,"1973,0063,2946","8262,3542,7077,5663,6950,2873,5295,9992,8478,9251","5820,6370,8386,2227,1161,1986,4826,6497,5796,7091"
2025-12-20,6010/25,DMC,"9372,2822,2731","2135,1556,9155,5161,7984,2754,3113,1092,1806,1774","8943,4800,0616,3543,2057,8101,3318,8400,7094,1611"
2025-12-21,6011/25,DMC,"8540,2363,1271","0204,5946,8807,7231,0005,7185,8740,0513,0709,5111","3667,0426,0116,2499,9638,7142,1554,0264,1286,8117"
2025-12-24,6012/25,DMC,"8603,1209,2798","3081,1918,7355,9326,1101,1588,8874,2561,1405,7158","8867,7546,2204,2167,1956,7349,9929,3958,3052,8771"
